ダウンロードした時刻：2023/08/24 09:56:38

,福井,福井,福井
年月日,天気概況(昼：06時～18時),天気概況(昼：06時～18時),天気概況(昼：06時～18時)
,,品質情報,均質番号
2022/8/23,晴時々曇,8,1
2022/8/24,曇一時雨,8,1
2022/8/25,曇時々雨、雷を伴う,8,1
2022/8/26,曇時々雨一時晴,8,1
2022/8/27,曇時々雨一時晴,8,1
2022/8/28,曇一時雨後晴,8,1
2022/8/29,晴時々曇,8,1
2022/8/30,曇時々雨,8,1
2022/8/31,曇時々晴,8,1
2022/9/1,大雨時々曇、雷を伴う,8,1
2022/9/2,曇一時雨後時々晴,8,1
2022/9/3,曇時々晴後大雨、雷を伴う,8,1
2022/9/4,曇後晴一時雨,8,1
2022/9/5,晴時々曇,8,1
2022/9/6,晴後雨時々曇、大風を伴う,8,1
2022/9/7,曇時々雨,8,1
2022/9/8,曇時々雨,8,1
2022/9/9,曇時々雨,8,1
2022/9/10,曇時々晴,8,1
2022/9/11,晴,8,1
2022/9/12,晴時々曇,8,1
2022/9/13,曇一時晴,8,1
2022/9/14,曇一時雨後晴,8,1
2022/9/15,曇時々晴,8,1
2022/9/16,曇時々晴,8,1
2022/9/17,曇時々晴一時雨,8,1
2022/9/18,曇一時晴後時々雨,8,1
2022/9/19,曇時々雨,8,1
2022/9/20,曇時々雨,8,1
2022/9/21,曇一時雨後晴,8,1
2022/9/22,雨時々曇,8,1
2022/9/23,雨後時々曇,8,1
2022/9/24,曇一時雨後晴,8,1
2022/9/25,晴,8,1
2022/9/26,晴時々曇,8,1
2022/9/27,雨時々曇,8,1
2022/9/28,曇,8,1
2022/9/29,晴一時曇,8,1
2022/9/30,晴、霧を伴う,8,1
2022/10/1,晴,8,1
2022/10/2,晴,8,1
2022/10/3,曇,8,1
2022/10/4,曇時々晴,8,1
2022/10/5,曇,8,1
2022/10/6,曇後雨時々晴,8,1
2022/10/7,雨後一時曇,8,1
2022/10/8,曇時々雨一時晴,8,1
2022/10/9,曇後雨,8,1
2022/10/10,大雨,8,1
2022/10/11,雨一時晴後曇,8,1
2022/10/12,曇,8,1
2022/10/13,晴一時曇、霧を伴う,8,1
2022/10/14,霧後晴時々曇,8,1
2022/10/15,曇時々晴,8,1
2022/10/16,晴一時曇、霧を伴う,8,1
2022/10/17,雨時々曇,8,1
2022/10/18,曇時々晴一時雨,8,1
2022/10/19,晴一時曇,8,1
2022/10/20,晴一時曇,8,1
2022/10/21,晴時々曇,8,1
2022/10/22,曇,8,1
2022/10/23,曇時々霧一時晴後雨,8,1
2022/10/24,晴時々曇一時雨,8,1
2022/10/25,晴後一時雨,8,1
2022/10/26,晴一時曇,8,1
2022/10/27,曇時々晴,8,1
2022/10/28,晴,8,1
2022/10/29,晴時々曇,8,1
2022/10/30,曇時々晴,8,1
2022/10/31,晴時々曇,8,1
2022/11/1,雨時々曇,8,1
2022/11/2,晴一時曇、霧を伴う,8,1
2022/11/3,晴後一時曇,8,1
2022/11/4,晴時々雨後曇,8,1
2022/11/5,晴一時曇,8,1
2022/11/6,晴一時曇,8,1
2022/11/7,晴一時曇,8,1
2022/11/8,曇時々晴一時雨、雷を伴う,8,1
2022/11/9,晴一時曇、霧を伴う,8,1
2022/11/10,晴一時曇,8,1
2022/11/11,晴一時曇,8,1
2022/11/12,晴,8,1
2022/11/13,雨時々曇,8,1
2022/11/14,曇一時雨後時々晴,8,1
2022/11/15,雨時々晴一時曇、雷を伴う,8,1
2022/11/16,晴時々曇後雨、雷を伴う,8,1
2022/11/17,曇後一時雨,8,1
2022/11/18,晴、霧を伴う,8,1
2022/11/19,晴時々曇、霧を伴う,8,1
2022/11/20,雨後時々曇,8,1
2022/11/21,曇時々晴,8,1
2022/11/22,曇一時雨、霧を伴う,8,1
2022/11/23,雨時々曇,8,1
2022/11/24,晴時々曇,8,1
2022/11/25,晴一時霧,8,1
2022/11/26,雨時々曇後晴、雷を伴う,8,1
2022/11/27,晴一時曇,8,1
2022/11/28,晴時々曇,8,1
2022/11/29,雨時々曇,8,1
2022/11/30,雨時々曇,8,1
2022/12/1,雨時々曇,8,1
2022/12/2,雨時々曇一時晴、雷を伴う,8,1
2022/12/3,晴一時霧,8,1
2022/12/4,雨時々曇,8,1
2022/12/5,雨時々曇,8,1
2022/12/6,雨時々曇,8,1
2022/12/7,雨時々曇,8,1
2022/12/8,雨時々曇一時晴,8,1
2022/12/9,曇時々晴一時雨、霧を伴う,8,1
2022/12/10,晴時々曇,8,1
2022/12/11,曇時々雨,8,1
2022/12/12,晴時々曇、霧を伴う,8,1
2022/12/13,雨,8,1
2022/12/14,みぞれ時々雨,8,1
2022/12/15,雨時々曇、みぞれを伴う,8,1
2022/12/16,雨,8,1
2022/12/17,雨時々曇,8,1
2022/12/18,雪時々曇、雷を伴う,8,1
2022/12/19,雪後みぞれ、雷を伴う,8,1
2022/12/20,みぞれ後雨時々曇,8,1
2022/12/21,曇一時晴、霧を伴う,8,1
2022/12/22,雨後一時曇、みぞれを伴う,8,1
2022/12/23,雪、雷を伴う,8,1
2022/12/24,雨後曇一時晴、雷を伴う,8,1
2022/12/25,雨後一時晴,8,1
2022/12/26,みぞれ時々曇後雨,8,1
2022/12/27,曇一時みぞれ後雨,8,1
2022/12/28,曇時々晴後雨、みぞれを伴う,8,1
2022/12/29,雨時々曇一時晴,8,1
2022/12/30,みぞれ時々曇後雨,8,1
2022/12/31,雨時々曇、雷を伴う,8,1
2023/1/1,雨時々曇,8,1
2023/1/2,雨後時々曇、みぞれを伴う,8,1
2023/1/3,みぞれ時々曇後雨一時晴,8,1
2023/1/4,みぞれ時々雨一時曇,8,1
2023/1/5,みぞれ後雨一時曇,8,1
2023/1/6,雨一時みぞれ後曇時々晴,8,1
2023/1/7,曇時々雨、雷を伴う,8,1
2023/1/8,雨後曇時々晴,8,1
2023/1/9,曇時々晴後雨、雷を伴う,8,1
2023/1/10,みぞれ一時雪後曇時々雨,8,1
2023/1/11,晴時々曇,8,1
2023/1/12,晴一時曇,8,1
2023/1/13,曇時々晴後雨,8,1
2023/1/14,雨時々曇,8,1
2023/1/15,曇時々雨,8,1
2023/1/16,雨時々曇,8,1
2023/1/17,曇後晴,8,1
2023/1/18,みぞれ一時雪後雨時々曇,8,1
2023/1/19,雨時々曇,8,1
2023/1/20,曇時々晴後雨、雷を伴う,8,1
2023/1/21,雪時々みぞれ一時曇後晴,8,1
2023/1/22,雪時々みぞれ後曇一時晴,8,1
2023/1/23,曇時々晴一時雨,8,1
2023/1/24,雨後雪時々みぞれ、雷を伴う,8,1
2023/1/25,雪時々曇,8,1
2023/1/26,雪、雷を伴う,8,1
2023/1/27,みぞれ時々曇,8,1
2023/1/28,雪時々曇,8,1
2023/1/29,雪後時々みぞれ、雷を伴う,8,1
2023/1/30,みぞれ後雪時々曇、雷を伴う,8,1
2023/1/31,曇時々晴一時雪,8,1
2023/2/1,みぞれ時々雨一時曇、雷を伴う,8,1
2023/2/2,曇時々晴一時雪、みぞれを伴う,8,1
2023/2/3,曇,8,1
2023/2/4,みぞれ時々雪一時曇後雨,8,1
2023/2/5,霧後曇時々晴一時雨,8,1
2023/2/6,晴時々曇,8,1
2023/2/7,曇,8,1
2023/2/8,曇時々みぞれ一時晴後雨,8,1
2023/2/9,晴時々曇,8,1
2023/2/10,雪時々みぞれ後雨,8,1
2023/2/11,晴時々曇,8,1
2023/2/12,曇時々晴,8,1
2023/2/13,雨時々曇,8,1
2023/2/14,みぞれ時々曇一時雪,8,1
2023/2/15,雪時々曇,8,1
2023/2/16,曇時々雪,8,1
2023/2/17,曇時々晴一時雨,8,1
2023/2/18,雨時々曇、みぞれを伴う,8,1
2023/2/19,雨,8,1
2023/2/20,雨一時晴後時々曇、みぞれを伴う,8,1
2023/2/21,雪後曇一時晴、みぞれを伴う,8,1
2023/2/22,晴時々曇,8,1
2023/2/23,雨時々みぞれ後曇一時晴,8,1
2023/2/24,曇時々雨,8,1
2023/2/25,曇時々晴一時雪、みぞれを伴う,8,1
2023/2/26,みぞれ時々曇一時雪後時々雨,8,1
2023/2/27,晴,8,1
2023/2/28,晴一時曇,8,1
2023/3/1,曇時々晴,8,1
2023/3/2,雨時々曇、雷を伴う,8,1
